what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.run,1295081026871
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1295081029882
opened,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1295081031084
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1295081031177
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081033953
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081036465
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1295081036762
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081037106
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081037324
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1295081037371
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081084389
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081084545
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1295081088648
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081094748
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081096261
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1295081096308
activated,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1295081099053
activated,view,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.ServersView,1295081099287
closed,editor,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui.editor,1295081099287
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081108367
started,bundle,org.eclipse.jst.server.generic.core,1.0.305.v200805140145,org.eclipse.jst.server.generic.core,1295081117118
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081121876
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081127383
started,bundle,org.eclipse.jst.server.generic.ui,1.0.305.v200805140145,org.eclipse.jst.server.generic.ui,1295081127648
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1295081172249
