,x1,x2,label
0,0.08598569,0.9654363377,0
1,-1.0389485681,0.0453523029,0
2,-0.217189695,0.9153210119,0
3,0.0888523418,-0.2274057527,1
4,-0.7255173711,0.6555935899,0
5,1.0780419664,0.2364377084,0
6,0.2170928375,-0.2264051074,1
7,0.5995141696,-0.8840529945,0
8,-0.1064417561,0.112429471,1
9,0.0043547587,0.217903132,1
10,-0.8841051758,-0.5101435721,0
11,-0.0297262272,-0.1771437679,1
12,0.27401936,-0.9953934038,0
13,-0.0402277259,-0.1716467703,1
14,-0.1909626931,0.9482637501,0
15,0.1845920645,-0.0945198315,1
16,1.0101969683,-0.0661083056,0
17,0.1515494237,-0.1073679485,1
18,0.8327526883,-0.6043407611,0
19,-0.1775031938,0.1645078597,1
20,-0.1375383436,-0.1832196566,1
21,-0.0690646364,-1.011219188,0
22,0.2259829325,-0.142729508,1
23,0.0010738939,0.1184325988,1
24,-0.8291843766,-0.6149428467,0
25,0.4424490979,-0.9472529757,0
26,0.2204807696,-0.0520285266,1
27,0.2096247353,-0.1542907141,1
28,-0.7822563236,-0.6638113573,0
29,0.0367678224,-0.1485597927,1
30,-0.1730726884,0.0916973621,1
31,-0.0443580758,0.2327494978,1
32,-0.2608890262,-0.9714305875,0
33,0.002017001,-0.1872877634,1
34,-0.0827758912,0.187762311,1
35,0.135833379,0.1207120209,1
36,0.8381362386,0.3995309984,0
37,0.1919557144,-1.0545123841,0
38,-0.1139698379,0.1339118883,1
39,-0.0209741747,-0.179584658,1
40,-0.1525483839,0.0865870567,1
41,0.6774900381,-0.8240073751,0
42,0.4910212024,-0.9354076522,0
43,0.6257904947,0.7910338785,0
44,-0.1182163645,0.0006059493,1
45,-0.0691733965,1.023335093,0
46,-1.0458664523,0.005174374,0
47,-0.1627408377,0.0596548462,1
48,-0.0133794396,-0.1422829576,1
49,0.1961422929,0.0998134828,1
50,-0.1436466043,0.0652342298,1
51,0.08598569,0.9654363377,0
52,-0.2132399827,-0.0317561485,1
53,0.319537934,-0.9522637396,0
54,-0.1028020346,-0.1465454234,1
55,-0.1306875482,0.2136743883,1
56,-0.0298340029,-0.2094263787,1
57,-0.1059612788,0.1508446046,1
58,-0.4555717079,0.8386481674,0
59,-0.1527987461,-0.0808517499,1
60,-0.8303746963,0.5125445775,0
61,1.0395122919,-0.0635481022,0
62,-0.8841051758,-0.5101435721,0
63,0.1037623176,0.0597240651,1
64,0.4285909703,-0.8992685034,0
65,-1.055394651,-0.1280380676,0
66,0.9968803852,0.0748243387,0
67,0.1368868221,0.1044078275,1
68,-0.7499740123,0.5566812849,0
69,-0.048328085,0.1918926023,1
70,0.0072905188,0.2212854943,1
71,0.1963010835,-0.0908384039,1
72,0.3525296652,-0.9622267387,0
73,-0.8303746963,0.5125445775,0
74,-0.8731898539,0.4968285652,0
75,0.0992309185,0.0844542908,1
76,-0.1432035166,0.2666164012,1
77,-0.9841241657,-0.2021677755,0
78,-0.6128080679,-0.7937384662,0
79,-0.2889971416,0.9357357232,0
80,0.1263600458,0.0995866256,1
81,-0.2010086686,0.0709255266,1
82,0.3351021707,1.0432618202,0
83,-0.0003547537,0.248003407,1
84,-0.9825984953,-0.1297752744,0
85,0.0075847898,1.0942253044,0
86,-1.0494850692,0.1861402719,0
87,-0.8730702095,0.387612082,0
88,0.1822913806,0.1655059068,1
89,-0.109153998,0.0812030895,1
90,0.8137093295,0.6139943202,0
91,-0.773077425,-0.6804977127,0
92,-0.0404387035,0.2407587825,1
93,-0.8945064965,-0.1520883007,0
94,-0.0420307954,-0.191826408,1
95,0.151667802,-0.1530035173,1
96,0.086444249,-0.2031207651,1
97,-0.814500545,0.6026590648,0
98,-0.1850590809,-0.0203387802,1
99,0.0349170493,0.1898765377,1
100,-0.1672992604,-0.074819683,1
101,0.0142057132,0.2633564236,1
102,0.6727318632,-0.7740585303,0
103,-0.6155950905,-0.797564254,0
