,x1,x2,label
0,0.1153220294,1.0292583796,0
1,-0.136474442,0.2586213746,1
2,0.2224716799,-0.1025822246,1
3,-0.1968626156,0.3387656536,1
4,0.168598364,-0.2607709913,1
5,-0.4847031326,0.8344517518,0
6,-0.6970754165,0.7899192173,0
7,-0.1568504438,-0.2572688321,1
8,0.1721215677,0.3147091881,1
9,0.2953874969,0.2062315795,1
10,0.53016586,-0.8448021546,0
11,-0.0282343655,0.2126140064,1
12,0.587386533,0.8387035456,0
13,-0.2730342032,0.1478856501,1
14,-0.9382059069,0.0711536995,0
15,0.1710075203,-0.3234055525,1
16,-0.2905814163,-0.1936040455,1
17,0.2279798988,0.0527741035,1
18,-0.0186932499,0.3253311723,1
19,-0.260559538,-0.2230544402,1
20,0.2993025618,-0.1546306043,1
21,0.1684730034,0.2479800833,1
22,-0.3113226934,-0.0201279725,1
23,0.1025795776,-0.3039979727,1
24,-0.2645101205,0.9953514446,0
25,-0.3173822542,-0.127699798,1
26,-0.0334052016,-0.3435585568,1
27,-0.1749932508,0.2726944896,1
28,0.3466265286,-0.0914342412,1
29,-0.2831243441,0.0598266278,1
30,0.0236506947,-1.0349153632,0
31,-0.2648683812,0.0525408269,1
32,0.0468822893,0.9980518758,0
33,0.8993137991,-0.5324691114,0
34,0.1063884455,0.9570748387,0
35,0.1506016325,0.1924020663,1
36,-0.2612161057,-0.016597459,1
37,-0.8422666509,0.5234974128,0
38,1.0046740318,-0.2495450316,0
39,-0.6366840162,-0.7099287519,0
40,0.2357032287,0.2515203676,1
41,-0.1246722961,-0.9846496647,0
42,-0.2175238728,-0.2658736319,1
43,0.5447253978,0.7953393275,0
44,0.0503312436,0.2461085077,1
45,0.2460544657,1.0200410182,0
46,-0.1865813541,-0.3359744536,1
47,-0.2133975942,-0.1116224903,1
48,-0.2249756255,0.1652086082,1
49,-0.0079260026,-0.3352883649,1
50,-0.2183809905,0.2106135756,1
51,0.0718001331,0.3279262205,1
52,0.2963751578,-0.145699731,1
