"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_07","","go-test","","TestSubtract07",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","40","","go_test_01","","go-test","","TestDivide01",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_06","","go-test","","TestAdd06",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_06","","go-test","","TestWithAllure06/Checking_result",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","40","","go_test_04","","go-test","","TestDivide04",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_01","","go-test","","TestWithAllure01/Checking_result",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_03","","go-test","","TestWithAllure03",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_05","","go-test","","TestSubtract05",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_06","","go-test","","TestSubtract06",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_02","","go-test","","TestAdd02",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","40","","go_test_08","","go-test","","TestDivide08",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_03","","go-test","","TestSubtract03",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_03","","go-test","","TestWithAllure03/Checking_result",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_10","","go-test","","TestWithAllure10",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_10","","go-test","","TestMultiply10",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_05","","go-test","","TestAdd05",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","40","","go_test_06","","go-test","","TestDivide06",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_02","","go-test","","TestMultiply02",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_04","","go-test","","TestWithAllure04",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_08","","go-test","","TestWithAllure08",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_08","","go-test","","TestWithAllure08/Checking_result",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_08","","go-test","","TestAdd08",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_03","","go-test","","TestMultiply03",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_09","","go-test","","TestMultiply09",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_01","","go-test","","TestAdd01",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_09","","go-test","","TestWithAllure09/Checking_result",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_04","","go-test","","TestAdd04",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_10","","go-test","","TestAdd10",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_05","","go-test","","TestMultiply05",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_05","","go-test","","TestWithAllure05",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","40","","go_test_03","","go-test","","TestDivide03",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_07","","go-test","","TestAdd07",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","40","","go_test_05","","go-test","","TestDivide05",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_03","","go-test","","TestAdd03",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_01","","go-test","","TestWithAllure01",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_06","","go-test","","TestWithAllure06",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_02","","go-test","","TestWithAllure02",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_07","","go-test","","TestMultiply07",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_02","","go-test","","TestWithAllure02/Checking_result",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_08","","go-test","","TestMultiply08",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_04","","go-test","","TestMultiply04",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_01","","go-test","","TestMultiply01",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","40","","go_test_10","","go-test","","TestDivide10",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_10","","go-test","","TestWithAllure10/Checking_result",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_04","","go-test","","TestWithAllure04/Checking_result",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_06","","go-test","","TestMultiply06",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_01","","go-test","","TestSubtract01",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_09","","go-test","","TestSubtract09",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_08","","go-test","","TestSubtract08",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_09","","go-test","","TestAdd09",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_05","","go-test","","TestWithAllure05/Checking_result",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_10","","go-test","","TestSubtract10",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_09","","go-test","","TestWithAllure09",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","40","","go_test_09","","go-test","","TestDivide09",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","40","","go_test_07","","go-test","","TestDivide07",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_07","","go-test","","TestWithAllure07/Checking_result",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_04","","go-test","","TestSubtract04",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","0","","go_test_07","","go-test","","TestWithAllure07",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","30","","go_test_02","","go-test","","TestSubtract02",""
"passed","Mon Jul 22 06:34:17 UTC 2024","Mon Jul 22 06:34:17 UTC 2024","40","","go_test_02","","go-test","","TestDivide02",""
